Quotation Expecting Day,Customer Name,Part Number,Product Name,Product Category,Quantity
2024-12-05,Teaching Hospital Colombo South,OSR6178,CREATININE- R1 4 X 51 ML- R2 4 X 51 ML,BIOCHEMISTRY,18.0
2024-12-05,Teaching Hospital Colombo South,OSR6287,HDL-CHOLESTEROL R14X51.3 R2 4X17.1 ML,BIOCHEMISTRY,4.0
2024-12-05,Teaching Hospital Colombo South,OSR61118,TRIG (TRIGLYCERIDES) REAGENT,BIOCHEMISTRY,3.0
2025-01-21,Dr. Neville Fernando Teaching Hospital (NFTH),66319,ISE MID STANDARD- 4 X 2000 ML,BIOCHEMISTRY,1.0
2025-01-21,Dr. Neville Fernando Teaching Hospital (NFTH),66320,ISE BUFFER- 4 X 2000 ML,BIOCHEMISTRY,1.0
2025-01-23,Medical Supplies Division,IM3492,FERRITIN,IMMUNOLOGY,24.0
2025-01-23,Medical Supplies Division,A11930,PTH,IMMUNOLOGY,12.0
2025-01-23,Medical Supplies Division,IM3712,TSH,IMMUNOLOGY,30.0
2025-01-23,Medical Supplies Division,IM1363,FT4,IMMUNOLOGY,6.0
2025-01-23,Medical Supplies Division,B46327,VITAMIN D,IMMUNOLOGY,24.0
2025-01-22,Teaching Hospital - Peradeniya,26330089,GEM 3/3.5K BG/ISE/GL 300 TEST IQM PAK,BLOODGAS & ELECTROLYTE,18.0
2025-01-24,General Hospital - Kalutara,26330089,GEM 3/3.5K BG/ISE/GL 300 TEST IQM PAK,BLOODGAS & ELECTROLYTE,6.0
2025-01-23,Teaching Hospital - Batticaloa,26315089,GEM 3/3.5K BG/ISE/GL150 TEST IQM PAK,BLOODGAS & ELECTROLYTE,10.0
2025-01-28,Dr. Neville Fernando Teaching Hospital (NFTH),OSR6178,CREATININE- R1 4 X 51 ML- R2 4 X 51 ML,BIOCHEMISTRY,1.0
2025-01-29,General Hospital - Kalutara,26330089,GEM 3/3.5K BG/ISE/GL 300 TEST IQM PAK,BLOODGAS & ELECTROLYTE,5.0
2025-01-29,General Hospital - Kalutara,5508-IL,PRINTER PAPER,LOCAL-PURCHASE,10.0
2025-02-03,Base Hospital - Dambulla,26315089,GEM 3/3.5K BG/ISE/GL150 TEST IQM PAK,BLOODGAS & ELECTROLYTE,1.0
2025-01-15,National Hospital of Sri Lanka,26330089,GEM 3/3.5K BG/ISE/GL 300 TEST IQM PAK,BLOODGAS & ELECTROLYTE,10.0
2025-01-29,Medical Research Institute ( MRI ),OSR6198,URIC ACID REAGENT- 4 X 30 ML & 4 X 12.5 ML,BIOCHEMISTRY,1.0
2025-01-29,Medical Research Institute ( MRI ),66300,SYSTEM CALIBRATOR- 20 X 5 ML,BIOCHEMISTRY,1.0
2025-01-29,Medical Research Institute ( MRI ),ODC0003,CONTROL SERUM 1- 20 X 5 ML,BIOCHEMISTRY,1.0
2025-01-29,Medical Research Institute ( MRI ),ODC0004,CONTROL SERUM 2- 20 X 5 ML,BIOCHEMISTRY,1.0
2025-01-29,Medical Research Institute ( MRI ),OSR6121,GLUCOSE R1 4X25ML R2 4X12.5ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,66313,ISE NA+/K+ SELECTIVITY CHECK- 2 X 25 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,ODC0016,ITA CONTROL SERUM 3- 6 X 2 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,ODC0015,ITA CONTROL SERUM 2- 6 X 2 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,ODC0005,HDL/LDL CHOLESTEROL CONTROL SERUM,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,ODC0004,CONTROL SERUM 2- 20 X 5 ML,BIOCHEMISTRY,2.0
2025-01-30,R.D.H.S - Jaffna,ODC0003,CONTROL SERUM 1- 20 X 5 ML,BIOCHEMISTRY,2.0
2025-01-30,R.D.H.S - Jaffna,66317,ISE LOW SERUM STANDARD- 4 X 100 ML,BIOCHEMISTRY,2.0
